,UNITDESC,WKD_RATE1,WKD_START1,WKD_END1,WKD_RATE2,WKD_START2,WKD_END2,WKD_RATE3,WKD_START3,WKD_END3,SAT_RATE1,SAT_START1,SAT_END1,SAT_RATE2,SAT_START2,SAT_END2,SAT_RATE3,SAT_START3,SAT_END3,PARKING_TIME_LIMIT
19371,S LANDER ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,90.0
19381,S LANDER ST BETWEEN 4TH AVE S AND 5TH AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
19382,S LANDER ST BETWEEN 5TH AVE S AND 5TH PL S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,90.0
19383,S LANDER ST BETWEEN 5TH PL S AND 6TH AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,60.0
19395,S LANDER ST BETWEEN UTAH AVE S AND 1ST AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,60.0
19411,S LANE ST BETWEEN 6TH AVE S AND MAYNARD AVE S,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,120.0
19420,S LANE ST BETWEEN MAYNARD AVE S AND 7TH AVE S,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,120.0
19475,S MAIN ST BETWEEN 12TH AVE S AND BOREN AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
19480,S MAIN ST BETWEEN 1ST AVE S AND 2ND AVE S,3.0,480,661,5.0,660,1081,,,,3.0,480.0,661.0,5.0,660.0,1081.0,,,,120.0
19489,S MAIN ST BETWEEN 2ND AVE S AND 2ND AV ET S,2.5,480,661,5.0,660,1081,,,,2.5,480.0,661.0,5.0,660.0,1081.0,,,,120.0
19490,S MAIN ST BETWEEN 4TH AVE S AND 5TH AVE S,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,75.0
19491,S MAIN ST BETWEEN 5TH AVE S AND 6TH AVE S,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,120.0
19492,S MAIN ST BETWEEN 6TH AVE S AND MAYNARD AVE S,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,120.0
19494,S MAIN ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,2.5,480,661,5.0,660,1081,,,,2.5,480.0,661.0,5.0,660.0,1081.0,,,,120.0
19499,S MAIN ST BETWEEN MAYNARD AVE S AND 7TH AVE S,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,120.0
19507,S MASSACHUSETTS ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,
19527,S MASSACHUSETTS ST BETWEEN COLORADO AVE S AND UTAH AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,
19538,S MASSACHUSETTS ST BETWEEN UTAH AVE S AND 1ST AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
19834,S PEARL ST BETWEEN 39TH AVE S AND DEAD END 3,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
20115,S STACY ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,60.0
20121,S STACY ST BETWEEN UTAH AVE S AND 1ST AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,
20232,S WALKER ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
20283,S WASHINGTON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,3.0,480,661,5.0,660,1081,,,,3.0,480.0,661.0,5.0,660.0,1081.0,,,,120.0
20292,S WASHINGTON ST BETWEEN 2ND AV ET S AND 3RD AVE S,2.5,480,661,5.0,660,1081,,,,2.5,480.0,661.0,5.0,660.0,1081.0,,,,
20296,S WASHINGTON ST BETWEEN 3RD AVE S AND 4TH AVE S,2.5,480,661,5.0,660,1081,,,,2.5,480.0,661.0,5.0,660.0,1081.0,,,,120.0
20298,S WASHINGTON ST BETWEEN 5TH AVE S AND 6TH AVE S,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,120.0
20299,S WASHINGTON ST BETWEEN 6TH AVE S AND DEAD END 1,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,120.0
20300,S WASHINGTON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,2.5,480,661,5.0,660,1081,,,,2.5,480.0,661.0,5.0,660.0,1081.0,,,,120.0
20304,S WASHINGTON ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S,3.0,480,661,5.0,660,1081,,,,3.0,480.0,661.0,5.0,660.0,1081.0,,,,120.0
20324,S WELLER ST BETWEEN 10TH AVE S AND 12TH AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
20325,S WELLER ST BETWEEN 12TH AVE S AND RAINIER AVE S,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
20329,S WELLER ST BETWEEN 5TH AVE S AND 6TH AVE S,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,120.0
20330,S WELLER ST BETWEEN 6TH AVE S AND MAYNARD AVE S,1.0,480,661,4.5,660,1021,3.0,1020.0,1201.0,1.0,480.0,661.0,4.5,660.0,1021.0,3.0,1020.0,1201.0,120.0
20331,S WELLER ST BETWEEN 7TH AVE S AND CANTON AL S,1.0,480,661,4.5,660,1021,3.0,1020.0,1201.0,1.0,480.0,661.0,4.5,660.0,1021.0,3.0,1020.0,1201.0,120.0
20332,S WELLER ST BETWEEN 8TH AVE S AND DEAD END,0.5,480,661,2.0,660,1021,1.5,1020.0,1201.0,0.5,480.0,661.0,2.0,660.0,1021.0,1.5,1020.0,1201.0,120.0
20333,S WELLER ST BETWEEN CANTON AL S AND 8TH AVE S,1.0,480,661,4.5,660,1021,3.0,1020.0,1201.0,1.0,480.0,661.0,4.5,660.0,1021.0,3.0,1020.0,1201.0,120.0
20334,S WELLER ST BETWEEN MAYNARD AL S AND 7TH AVE S,1.0,480,661,4.5,660,1021,3.0,1020.0,1201.0,1.0,480.0,661.0,4.5,660.0,1021.0,3.0,1020.0,1201.0,120.0
20335,S WELLER ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,1.0,480,661,4.5,660,1021,3.0,1020.0,1201.0,1.0,480.0,661.0,4.5,660.0,1021.0,3.0,1020.0,1201.0,120.0
20432,SENECA ST BETWEEN 1ST AVE AND 2ND AVE,3.5,480,661,4.0,660,1021,3.5,1020.0,1201.0,3.5,480.0,661.0,4.0,660.0,1021.0,3.5,1020.0,1201.0,120.0
20433,SENECA ST BETWEEN 2ND AVE AND 3RD AVE,3.5,480,661,4.0,660,1021,3.5,1020.0,1201.0,3.5,480.0,661.0,4.0,660.0,1021.0,3.5,1020.0,1201.0,120.0
20434,SENECA ST BETWEEN 3RD AVE AND 4TH AVE,3.5,480,661,4.0,660,1021,3.5,1020.0,1201.0,3.5,480.0,661.0,4.0,660.0,1021.0,3.5,1020.0,1201.0,120.0
20436,SENECA ST BETWEEN 5TH AVE AND 6TH AVE,3.5,480,661,4.0,660,1021,3.5,1020.0,1201.0,3.5,480.0,661.0,4.0,660.0,1021.0,3.5,1020.0,1201.0,120.0
20438,SENECA ST BETWEEN 8TH AVE AND 9TH AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20439,SENECA ST BETWEEN 9TH AVE AND TERRY AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20440,SENECA ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE,3.0,480,661,5.0,660,1021,4.0,1020.0,1201.0,3.0,480.0,661.0,5.0,660.0,1021.0,4.0,1020.0,1201.0,120.0
20442,SENECA ST BETWEEN BOREN AVE AND MINOR AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20443,SENECA ST BETWEEN BOYLSTON AVE AND HARVARD AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20446,SENECA ST BETWEEN MINOR AVE AND SUMMIT AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20447,SENECA ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20448,SENECA ST BETWEEN TERRY AVE AND BOREN AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20449,SENECA ST BETWEEN WESTERN AVE AND POST AVE,3.0,480,661,5.0,660,1021,4.0,1020.0,1201.0,3.0,480.0,661.0,5.0,660.0,1021.0,4.0,1020.0,1201.0,120.0
20496,SHILSHOLE AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
20534,SPRING ST BETWEEN 1ST AVE AND 2ND AVE,4.0,480,661,5.0,660,1021,2.5,1020.0,1201.0,4.0,480.0,661.0,5.0,660.0,1021.0,2.5,1020.0,1201.0,120.0
20536,SPRING ST BETWEEN 3RD AVE AND 4TH AVE,4.0,480,661,5.0,660,1021,2.5,1020.0,1201.0,4.0,480.0,661.0,5.0,660.0,1021.0,2.5,1020.0,1201.0,120.0
20537,SPRING ST BETWEEN 4TH AVE AND 5TH AVE,4.0,480,661,5.0,660,1021,2.5,1020.0,1201.0,4.0,480.0,661.0,5.0,660.0,1021.0,2.5,1020.0,1201.0,
20538,SPRING ST BETWEEN 5TH AVE AND 6TH AVE,4.0,480,661,5.0,660,1021,2.5,1020.0,1201.0,4.0,480.0,661.0,5.0,660.0,1021.0,2.5,1020.0,1201.0,
20540,SPRING ST BETWEEN 7TH AVE AND 8TH AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20541,SPRING ST BETWEEN 8TH AVE AND 9TH AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20543,SPRING ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE,3.0,480,661,5.0,660,1021,4.0,1020.0,1201.0,3.0,480.0,661.0,5.0,660.0,1021.0,4.0,1020.0,1201.0,120.0
20545,SPRING ST BETWEEN BOREN AVE AND MINOR AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20546,SPRING ST BETWEEN BOYLSTON AVE AND HARVARD AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20547,SPRING ST BETWEEN MINOR AVE AND SUMMIT AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20549,SPRING ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20550,SPRING ST BETWEEN TERRY AVE AND BOREN AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20553,SPRUCE ST BETWEEN 8TH AVE AND TERRY AVE,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,
20598,STEWART ST BETWEEN 1ST AVE AND 2ND AVE,3.5,480,661,4.0,660,1021,3.5,1020.0,1201.0,3.5,480.0,661.0,4.0,660.0,1021.0,3.5,1020.0,1201.0,120.0
20599,STEWART ST BETWEEN 2ND AVE AND 3RD AVE,3.5,480,661,4.0,660,1021,3.5,1020.0,1201.0,3.5,480.0,661.0,4.0,660.0,1021.0,3.5,1020.0,1201.0,120.0
20601,STEWART ST BETWEEN 4TH AVE AND 5TH AVE,2.5,480,661,3.0,660,1021,2.5,1020.0,1201.0,2.5,480.0,661.0,3.0,660.0,1021.0,2.5,1020.0,1201.0,120.0
20603,STEWART ST BETWEEN 6TH AVE AND 7TH AVE,3.5,480,661,4.5,660,1021,3.0,1020.0,1201.0,3.5,480.0,661.0,4.5,660.0,1021.0,3.0,1020.0,1201.0,120.0
20604,STEWART ST BETWEEN 7TH AVE AND 8TH AVE,3.5,480,661,4.5,660,1021,3.0,1020.0,1201.0,3.5,480.0,661.0,4.5,660.0,1021.0,3.0,1020.0,1201.0,120.0
20605,STEWART ST BETWEEN 8TH AVE AND 9TH AVE,1.5,480,661,2.5,660,1081,,,,1.5,480.0,661.0,2.5,660.0,1081.0,,,,240.0
20606,STEWART ST BETWEEN 9TH AVE AND TERRY AVE,1.5,480,661,2.5,660,1081,,,,1.5,480.0,661.0,2.5,660.0,1081.0,,,,240.0
20607,STEWART ST BETWEEN BOREN AVE AND MINOR AVE,1.5,480,661,2.5,660,1081,,,,1.5,480.0,661.0,2.5,660.0,1081.0,,,,240.0
20609,STEWART ST BETWEEN MINOR AVE AND YALE AVE,1.5,480,661,2.5,660,1081,,,,1.5,480.0,661.0,2.5,660.0,1081.0,,,,240.0
20612,STEWART ST BETWEEN TERRY AVE AND BOREN AVE,1.5,480,661,2.5,660,1081,,,,1.5,480.0,661.0,2.5,660.0,1081.0,,,,240.0
20688,SUMMIT AVE BETWEEN E PIKE ST AND E PINE ST,2.0,480,661,3.0,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1321.0,120.0
20689,SUMMIT AVE BETWEEN E PINE ST AND E OLIVE ST,1.5,480,661,2.5,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,2.5,660.0,1021.0,3.0,1020.0,1321.0,120.0
20690,SUMMIT AVE BETWEEN E UNION ST AND E PIKE ST,2.0,480,661,3.0,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1321.0,120.0
20691,SUMMIT AVE BETWEEN MADISON ST AND SPRING ST,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20692,SUMMIT AVE BETWEEN SENECA ST AND UNIVERSITY ST,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20693,SUMMIT AVE BETWEEN SPRING ST AND SENECA ST,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20694,SUMMIT AVE BETWEEN UNIVERSITY ST AND E UNION ST,4.5,480,661,5.0,660,1021,4.5,1020.0,1201.0,4.5,480.0,661.0,5.0,660.0,1021.0,4.5,1020.0,1201.0,120.0
20894,SW ALASKA ST BETWEEN 36TH AVE SW AND 37TH AVE SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
20895,SW ALASKA ST BETWEEN 37TH AVE SW AND 38TH AVE SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
20896,SW ALASKA ST BETWEEN 38TH AVE SW AND FAUNTLEROY WAY SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
20898,SW ALASKA ST BETWEEN 41ST AVE SW AND 42ND AVE SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,60.0
21394,SW GENESEE ST BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
21407,SW GENESEE ST BETWEEN CALIFORNIA AVE SW AND 44TH AVE SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
21846,SW OREGON ST BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
21856,SW OREGON ST BETWEEN CALIFORNIA AVE SW AND 44TH AVE SW,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
